DATE,序,代码,VALUE,IncreaseThisYear,IncreaseYTD,MarketValue,STOCKCODE,STOCKID,MARKETVALUEGroup,TOP100MarketValue
20251103.0,400.0,1.0,10.58,2.79,1.33,2214.0,1.0,2.025110300001e+17,4.0,
20251103.0,1152.0,2.0,4.09,-13.22,-32.479,751.6,2.0,2.025110300002e+17,2.0,
20251103.0,3094.0,4.0,1.15,-6.86,-40.52,17.06,4.0,2.025110300004e+17,1.0,
20251103.0,691.0,6.0,6.77,68.58,69.27,166.6,6.0,2.025110300006e+17,1.0,
20251103.0,2596.0,7.0,1.51,22.76,25.8,29.9,7.0,2.025110300007e+17,1.0,
20251103.0,2786.0,8.0,1.36,0.34,25.43,79.05,8.0,2.025110300008e+17,1.0,
20251103.0,811.0,9.0,5.78,22.48,23.97,288.1,9.0,2.025110300009e+17,2.0,
20251103.0,2047.0,10.0,2.1,43.06,93.27,46.22,10.0,2.02511030001e+17,1.0,
20251103.0,1868.0,11.0,2.36,22.77,16.13,63.95,11.0,2.025110300011e+17,1.0,
20251103.0,4162.0,12.0,0.6366,-8.4499,-11.67,146.5,12.0,2.025110300012e+17,1.0,
20251103.0,835.0,14.0,5.64,72.43,80.3,45.87,14.0,2.025110300014e+17,1.0,
20251103.0,2056.0,16.0,2.08,-0.91,37.78,131.7,16.0,2.025110300016e+17,1.0,
20251103.0,3564.0,17.0,0.8795,17.07,9.52,46.8,17.0,2.025110300017e+17,1.0,
20251103.0,3633.0,19.0,0.8576,8.57,8.06,80.33,19.0,2.025110300019e+17,1.0,
20251103.0,3144.0,20.0,1.12,20.13,9.53999,42.25,20.0,2.02511030002e+17,1.0,
20251103.0,75.0,21.0,35.07,43.77,56.46,426.4,21.0,2.025110300021e+17,2.0,1.0
20251103.0,2699.0,25.0,1.42,10.11,9.18,77.94,25.0,2.025110300025e+17,1.0,
20251103.0,3979.0,26.0,0.7124,63.69,70.18,66.22,26.0,2.025110300026e+17,1.0,
20251103.0,1665.0,27.0,2.67,12.48,8.36999,338.7,27.0,2.025110300027e+17,2.0,
20251103.0,3806.0,28.0,0.7832,-12.05,-10.28,141.4,28.0,2.025110300028e+17,1.0,
20251103.0,2730.0,29.0,1.39,90.04,98.06,289.5,29.0,2.025110300029e+17,2.0,
20251103.0,4027.0,30.0,0.6957,14.06,13.83,97.69,30.0,2.02511030003e+17,1.0,
20251103.0,3857.0,31.0,0.7558,-2.63,-3.9,126.9,31.0,2.025110300031e+17,1.0,
20251103.0,1448.0,32.0,3.18,19.75,11.42,238.7,32.0,2.025110300032e+17,2.0,
20251103.0,184.0,34.0,18.57,25.04,35.35,314.7,34.0,2.025110300034e+17,2.0,3.0
20251103.0,2379.0,35.0,1.7,22.52,26.98,141.6,35.0,2.025110300035e+17,1.0,
20251103.0,3225.0,36.0,1.07,0.98,-3.74,57.84,36.0,2.025110300036e+17,1.0,
20251103.0,3561.0,37.0,0.8826,12.69,6.15,54.07,37.0,2.025110300037e+17,1.0,
20251103.0,1403.0,39.0,3.32,3.95,-4.93,426.0,39.0,2.025110300039e+17,2.0,
20251103.0,5390.0,42.0,0.1724,72.48,53.59,51.26,42.0,2.025110300042e+17,1.0,
20251103.0,2171.0,45.0,1.94,27.46,43.8,68.18,45.0,2.025110300045e+17,1.0,
20251103.0,1438.0,48.0,3.23,-3.82,8.27,88.19,48.0,2.025110300048e+17,1.0,
20251103.0,1602.0,49.0,2.79,19.97,9.32,107.0,49.0,2.025110300049e+17,1.0,
20251103.0,1142.0,50.0,4.12,9.63,24.37,243.3,50.0,2.02511030005e+17,2.0,
20251103.0,4745.0,55.0,0.4373,11.31,13.65,46.5,55.0,2.025110300055e+17,1.0,
20251103.0,3150.0,56.0,1.11,-11.72,5.7,28.5,56.0,2.025110300056e+17,1.0,
20251103.0,2235.0,58.0,1.85,23.82,36.78,122.3,58.0,2.025110300058e+17,1.0,
20251103.0,3870.0,59.0,0.7516,7.55,6.43,82.05,59.0,2.025110300059e+17,1.0,
20251103.0,408.0,60.0,10.51,17.39,14.65,214.0,60.0,2.02511030006e+17,2.0,
20251103.0,2650.0,61.0,1.46,25.22,39.26,172.5,61.0,2.025110300061e+17,1.0,
20251103.0,1481.0,62.0,3.08,26.7,-3.43,291.8,62.0,2.025110300062e+17,2.0,
20251103.0,22.0,63.0,59.15,7.39,42.12,2044.0,63.0,2.025110300063e+17,4.0,1.0
20251103.0,2832.0,65.0,1.33,16.2,11.12,119.9,65.0,2.025110300065e+17,1.0,
20251103.0,274.0,66.0,14.06,16.3299,45.99,546.8,66.0,2.025110300066e+17,2.0,3.0
20251103.0,3329.0,68.0,1.01,15.52,13.82,38.96,68.0,2.025110300068e+17,1.0,
20251103.0,2639.0,69.0,1.47,-10.11,-11.76,192.9,69.0,2.025110300069e+17,1.0,
20251103.0,1956.0,70.0,2.23,72.17,93.74,89.13,70.0,2.02511030007e+17,1.0,
20251103.0,3821.0,78.0,0.7757,0.0,0.02,67.09,78.0,2.025110300078e+17,1.0,
20251103.0,3219.0,88.0,1.08,-3.16,-3.16,238.7,88.0,2.025110300088e+17,2.0,
20251103.0,3379.0,89.0,0.9864,6.79,5.24,148.3,89.0,2.025110300089e+17,1.0,
20251103.0,3202.0,90.0,1.09,-4.74,-4.26,71.38,90.0,2.02511030009e+17,1.0,
20251103.0,4596.0,96.0,0.4899,-4.51,0.26,61.46,96.0,2.025110300096e+17,1.0,
20251103.0,1698.0,99.0,2.61,-15.13,7.24,172.3,99.0,2.025110300099e+17,1.0,
20251103.0,227.0,100.0,16.07,-13.05,0.46,900.7,100.0,2.0251103001e+17,3.0,3.0
20251103.0,4911.0,151.0,0.3859,-10.35,-9.25,42.68,151.0,2.025110300151e+17,1.0,
20251103.0,3184.0,153.0,1.1,12.44,11.15,31.51,153.0,2.025110300153e+17,1.0,
20251103.0,774.0,155.0,6.07,15.6,7.24,224.3,155.0,2.025110300155e+17,2.0,
20251103.0,2350.0,156.0,1.73,15.67,17.34,150.5,156.0,2.025110300156e+17,1.0,
20251103.0,642.0,157.0,7.19,19.34,24.74,715.2,157.0,2.025110300157e+17,2.0,
20251103.0,210.0,158.0,16.97,17.53,2.73,378.4,158.0,2.025110300158e+17,2.0,3.0
20251103.0,3399.0,159.0,0.9715,2.67,-7.23,29.61,159.0,2.025110300159e+17,1.0,
20251103.0,950.0,166.0,4.95,3.02,4.4,1367.0,166.0,2.025110300166e+17,4.0,
20251103.0,2317.0,301.0,1.76,13.52,10.69,616.2,301.0,2.025110300301e+17,2.0,
20251103.0,154.0,333.0,20.79,0.05,3.33,5788.0,333.0,2.025110300333e+17,4.0,3.0
20251103.0,105.0,338.0,27.65,18.77,19.23,1345.0,338.0,2.025110300338e+17,4.0,2.0
20251103.0,230.0,400.0,15.86,-0.33,-9.56,274.7,400.0,2.0251103004e+17,2.0,3.0
20251103.0,4293.0,401.0,0.5883,-5.65,-7.1,128.7,401.0,2.025110300401e+17,1.0,
20251103.0,3582.0,402.0,0.8756,-7.67,-7.38,89.97,402.0,2.025110300402e+17,1.0,
20251103.0,3827.0,403.0,0.772,-0.02,-8.7899,148.8,403.0,2.025110300403e+17,1.0,
20251103.0,3855.0,404.0,0.7571,-0.28,1.58,49.28,404.0,2.025110300404e+17,1.0,
20251103.0,5452.0,407.0,,11.83,25.17,33.27,407.0,2.025110300407e+17,1.0,
20251103.0,366.0,408.0,11.49,114.74,111.65,901.3,408.0,2.025110300408e+17,3.0,
20251103.0,3596.0,409.0,0.8694,28.62,27.33,77.7,409.0,2.025110300409e+17,1.0,
20251103.0,1215.0,410.0,3.89,10.41,4.25,208.0,410.0,2.02511030041e+17,2.0,
